onset	duration	trial_type	value	sample
174.10666666666665	0.5	W	24	52232
174.40666666666667	0.5	nontarget	29	52322
174.40666666666667	0.5	P	17	52322
174.71	0.5	nontarget	29	52413
174.71	0.5	Z	27	52413
180.72	0.5	nontarget	29	54216
180.72	0.5	R	19	54216
181.02333333333334	0.5	nontarget	29	54307
181.02333333333334	0.5	P	17	54307
181.32333333333332	0.5	nontarget	29	54397
181.32333333333332	0.5	E	6	54397
181.62333333333333	0.5	nontarget	29	54487
181.62333333333333	0.5	N	15	54487
181.92333333333335	0.5	target	30	54577
181.92333333333335	0.5	X	25	54577
182.22666666666666	0.5	nontarget	29	54668
182.22666666666666	0.5	G	8	54668
182.52333333333334	0.5	nontarget	29	54757
182.52333333333334	0.5	L	13	54757
182.82666666666665	0.5	nontarget	29	54848
182.82666666666665	0.5	W	24	54848
183.12666666666667	0.5	nontarget	29	54938
183.12666666666667	0.5	H	9	54938
183.42666666666668	0.5	nontarget	29	55028
183.42666666666668	0.5	Z	27	55028
189.43333333333334	0.5	nontarget	29	56830
189.43333333333334	0.5	U	22	56830
189.73	0.5	target	30	56919
189.73	0.5	Y	26	56919
190.03333333333333	0.5	nontarget	29	57010
190.03333333333333	0.5	W	24	57010
190.33333333333334	0.5	nontarget	29	57100
190.33333333333334	0.5	M	14	57100
190.63333333333333	0.5	nontarget	29	57190
190.63333333333333	0.5	O	16	57190
190.93333333333334	0.5	nontarget	29	57280
190.93333333333334	0.5	E	6	57280
191.23666666666668	0.5	nontarget	29	57371
191.23666666666668	0.5	T	21	57371
191.53333333333333	0.5	nontarget	29	57460
191.53333333333333	0.5	Z	27	57460
191.83666666666667	0.5	nontarget	29	57551
191.83666666666667	0.5	J	11	57551
192.13666666666666	0.5	nontarget	29	57641
192.13666666666666	0.5	B	3	57641
198.14666666666668	0.5	nontarget	29	59444
198.14666666666668	0.5	L	13	59444
198.44666666666666	0.5	nontarget	29	59534
198.44666666666666	0.5	F	7	59534
198.75	0.5	nontarget	29	59625
198.75	0.5	S	20	59625
199.05	0.5	nontarget	29	59715
199.05	0.5	Q	18	59715
199.35	0.5	nontarget	29	59805
199.35	0.5	_	28	59805
199.65	0.5	nontarget	29	59895
199.65	0.5	X	25	59895
199.94666666666666	0.5	nontarget	29	59984
199.94666666666666	0.5	I	10	59984
200.24666666666667	0.5	nontarget	29	60074
200.24666666666667	0.5	M	14	60074
200.55	0.5	target	30	60165
200.55	0.5	Z	27	60165
200.85	0.5	nontarget	29	60255
200.85	0.5	G	8	60255
206.86	0.5	nontarget	29	62058
206.86	0.5	<	1	62058
207.16	0.5	nontarget	29	62148
207.16	0.5	X	25	62148
207.46	0.5	target	30	62238
207.46	0.5	A	2	62238
207.76	0.5	nontarget	29	62328
207.76	0.5	K	12	62328
208.06	0.5	nontarget	29	62418
208.06	0.5	E	6	62418
208.36	0.5	nontarget	29	62508
208.36	0.5	G	8	62508
208.66	0.5	nontarget	29	62598
208.66	0.5	U	22	62598
208.96	0.5	nontarget	29	62688
208.96	0.5	M	14	62688
209.26333333333332	0.5	nontarget	29	62779
209.26333333333332	0.5	N	15	62779
209.56333333333333	0.5	nontarget	29	62869
209.56333333333333	0.5	J	11	62869
215.57	0.5	nontarget	29	64671
215.57	0.5	F	7	64671
215.87	0.5	nontarget	29	64761
215.87	0.5	X	25	64761
216.17	0.5	nontarget	29	64851
216.17	0.5	U	22	64851
216.47	0.5	target	30	64941
216.47	0.5	I	10	64941
216.77	0.5	nontarget	29	65031
216.77	0.5	Q	18	65031
217.07	0.5	nontarget	29	65121
217.07	0.5	A	2	65121
217.37	0.5	nontarget	29	65211
217.37	0.5	S	20	65211
217.67	0.5	nontarget	29	65301
217.67	0.5	Y	26	65301
217.97	0.5	nontarget	29	65391
217.97	0.5	E	6	65391
218.27	0.5	nontarget	29	65481
218.27	0.5	D	5	65481
224.27666666666667	0.5	nontarget	29	67283
224.27666666666667	0.5	N	15	67283
224.57666666666665	0.5	nontarget	29	67373
224.57666666666665	0.5	J	11	67373
224.87666666666667	0.5	nontarget	29	67463
224.87666666666667	0.5	T	21	67463
225.18	0.5	nontarget	29	67554
225.18	0.5	Y	26	67554
225.47666666666666	0.5	nontarget	29	67643
225.47666666666666	0.5	L	13	67643
225.77666666666667	0.5	nontarget	29	67733
225.77666666666667	0.5	<	1	67733
226.07666666666665	0.5	nontarget	29	67823
226.07666666666665	0.5	U	22	67823
226.37666666666667	0.5	target	30	67913
226.37666666666667	0.5	A	2	67913
226.67666666666668	0.5	nontarget	29	68003
226.67666666666668	0.5	Z	27	68003
226.97666666666666	0.5	nontarget	29	68093
226.97666666666666	0.5	Q	18	68093
232.98666666666668	0.5	nontarget	29	69896
232.98666666666668	0.5	K	12	69896
233.28666666666666	0.5	nontarget	29	69986
233.28666666666666	0.5	S	20	69986
233.58666666666667	0.5	nontarget	29	70076
233.58666666666667	0.5	E	6	70076
233.88333333333333	0.5	nontarget	29	70165
233.88333333333333	0.5	O	16	70165
234.18666666666667	0.5	nontarget	29	70256
234.18666666666667	0.5	X	25	70256
234.48333333333332	0.5	nontarget	29	70345
234.48333333333332	0.5	A	2	70345
234.78333333333333	0.5	nontarget	29	70435
234.78333333333333	0.5	B	3	70435
235.08333333333334	0.5	nontarget	29	70525
235.08333333333334	0.5	J	11	70525
